T  (s),T1,T2,T3,CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
94.604004,26.978678,22.763725,27.109375,473.707611,140.519608,-65.912132,184.834335,310.699402,1637.298950,1577.617432,1912.026733,1.163285,1.163424,1.163278,1.163733,1.163889,1.163892,1.163605,1.163467,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179245,-0.053171,0.024940,-0.069939,-0.117564,-0.619532,-0.596949,-0.723485
98.180000,26.980919,22.784954,27.110687,473.454285,140.155457,-66.212936,184.973114,311.117950,1637.450562,1576.836670,1912.167847,1.163281,1.163442,1.163291,1.163723,1.163878,1.163864,1.163592,1.163428,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179149,-0.053033,0.025054,-0.069991,-0.117723,-0.619589,-0.596654,-0.723539
101.806000,26.993027,22.807306,27.112625,473.733459,140.138992,-65.844002,184.808655,310.784180,1636.785400,1577.372070,1912.282837,1.163295,1.163435,1.163269,1.163742,1.163857,1.163856,1.163617,1.163464,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179254,-0.053027,0.024914,-0.069929,-0.117597,-0.619338,-0.596856,-0.723582
105.431000,27.009138,22.833094,27.109562,473.866974,139.885818,-65.662941,184.982864,310.794189,1636.683350,1579.014404,1911.682251,1.163313,1.163436,1.163319,1.163775,1.163915,1.163891,1.163618,1.163469,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179305,-0.052931,0.024846,-0.069995,-0.117600,-0.619299,-0.597478,-0.723355
109.039001,27.000496,22.837278,27.113438,473.382965,138.945084,-66.508682,183.854446,310.061523,1635.953979,1576.913696,1911.652344,1.163294,1.163407,1.163262,1.163736,1.163869,1.163849,1.163592,1.163450,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179122,-0.052575,0.025166,-0.069568,-0.117323,-0.619023,-0.596683,-0.723344
112.641998,27.000603,22.835405,27.112562,473.296143,138.868744,-66.825829,183.942856,309.976410,1635.986572,1576.266113,1910.691162,1.163260,1.163414,1.163255,1.163721,1.163879,1.163833,1.163556,1.163439,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179089,-0.052546,0.025286,-0.069602,-0.117291,-0.619035,-0.596438,-0.722980
116.514000,26.983532,22.844584,27.111687,473.206604,138.602737,-67.023071,183.051178,309.557922,1635.180176,1575.955078,1910.629761,1.163281,1.163430,1.163262,1.163719,1.163882,1.163818,1.163582,1.163424,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179055,-0.052445,0.025361,-0.069264,-0.117133,-0.618730,-0.596320,-0.722957
120.067001,26.993294,22.861254,27.112875,473.138336,138.382858,-67.277290,183.535889,309.548157,1635.102173,1575.716553,1909.434570,1.163272,1.163408,1.163254,1.163713,1.163884,1.163856,1.163583,1.163451,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179029,-0.052362,0.025457,-0.069448,-0.117129,-0.618701,-0.596230,-0.722504
124.870003,26.997776,22.859943,27.113375,473.688507,138.201645,-67.293747,183.999344,309.872925,1635.293213,1576.245483,1909.612671,1.163319,1.163451,1.163294,1.163758,1.163919,1.163892,1.163613,1.163535,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179237,-0.052294,0.025463,-0.069623,-0.117252,-0.618773,-0.596430,-0.722572
128.373993,27.007538,22.827787,27.110624,472.860107,137.942917,-67.792572,183.099899,309.434052,1634.373413,1574.888672,1909.089355,1.163366,1.163522,1.163370,1.163841,1.163939,1.163924,1.163652,1.163501,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178924,-0.052196,0.025652,-0.069283,-0.117086,-0.618425,-0.595917,-0.722374
