T  (s),T1,T2,T3,One,Two,Three,Four,Five,Six,Seven,Eight,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
102.962997,26.984333,22.625610,27.285063,1691.257690,435.540680,-212.984314,-378.814514,-605.747803,1121.549072,1775.136719,2094.826660,1.165396,1.165565,1.165357,1.165860,1.166020,1.165946,1.165663,1.165566,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.639949,-0.164803,0.080590,0.143338,0.229207,-0.424379,-0.671688,-0.792654
106.218002,26.994308,22.651709,27.286125,1694.746094,439.252838,-206.375412,-373.337677,-600.018372,1125.522095,1778.652588,2098.888428,1.165391,1.165558,1.165374,1.165847,1.166019,1.165968,1.165671,1.165573,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.641269,-0.166207,0.078090,0.141266,0.227039,-0.425882,-0.673018,-0.794191
109.479004,27.012552,22.645716,27.283875,1699.947998,444.728119,-201.121506,-368.322845,-594.406433,1129.305908,1783.870239,2102.936768,1.165410,1.165608,1.165421,1.165854,1.166051,1.165981,1.165671,1.165591,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.643237,-0.168279,0.076102,0.139368,0.224915,-0.427314,-0.674993,-0.795723
112.740997,27.007910,22.656580,27.284813,1703.758667,449.137573,-196.955063,-364.716858,-590.504456,1133.486816,1786.758301,2106.131836,1.165344,1.165519,1.165345,1.165838,1.165969,1.165938,1.165617,1.165536,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.644679,-0.169948,0.074525,0.138004,0.223439,-0.428896,-0.676085,-0.796932
116.000999,27.003750,22.649836,27.280624,1708.035400,453.424011,-192.415970,-359.953094,-586.119690,1137.543457,1792.152466,2110.358643,1.165378,1.165523,1.165373,1.165802,1.165969,1.165893,1.165560,1.165506,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.646298,-0.171570,0.072808,0.136201,0.221780,-0.430431,-0.678126,-0.798531
119.259003,27.005243,22.649712,27.286249,1712.967651,457.484192,-188.245178,-356.226807,-581.318420,1140.236084,1794.884644,2111.015137,1.165324,1.165517,1.165341,1.165823,1.166008,1.165947,1.165601,1.165523,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.648164,-0.173106,0.071229,0.134791,0.219963,-0.431450,-0.679160,-0.798780
122.516998,26.999216,22.671564,27.286249,1714.725342,460.786804,-184.978104,-353.071289,-578.713135,1143.264771,1798.124146,2114.729736,1.165335,1.165518,1.165370,1.165824,1.165946,1.165861,1.165578,1.165476,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.648829,-0.174356,0.069993,0.133597,0.218977,-0.432596,-0.680386,-0.800185
125.769997,27.003323,22.680868,27.282375,1718.359131,464.574921,-180.793640,-349.507446,-575.092224,1146.646362,1800.733398,2116.950439,1.165337,1.165479,1.165362,1.165813,1.166014,1.165948,1.165630,1.165526,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.650204,-0.175789,0.068410,0.132249,0.217607,-0.433876,-0.681373,-0.801026
129.035004,26.992973,22.691919,27.285625,1719.926636,466.852814,-179.262268,-347.748108,-573.150940,1147.862183,1801.933350,2117.805176,1.165344,1.165479,1.165293,1.165765,1.165954,1.165885,1.165576,1.165501,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.650797,-0.176651,0.067830,0.131583,0.216873,-0.434336,-0.681827,-0.801349
132.300003,26.992441,22.682804,27.279625,1722.530762,469.529144,-176.114639,-344.848419,-570.687683,1152.361450,1804.196411,2120.415039,1.165390,1.165520,1.165384,1.165836,1.166002,1.165941,1.165611,1.165539,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.651782,-0.177664,0.066639,0.130486,0.215941,-0.436038,-0.682684,-0.802337
135.556000,26.974890,22.645027,27.283188,1724.770142,471.296997,-173.909424,-343.632141,-569.201172,1150.674072,1804.479614,2120.245850,1.165353,1.165517,1.165358,1.165827,1.165968,1.165918,1.165613,1.165517,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.652630,-0.178332,0.065805,0.130026,0.215378,-0.435400,-0.682791,-0.802273
138.817993,26.981398,22.647963,27.282188,1725.679199,473.379089,-171.867096,-341.641724,-567.595703,1151.797485,1805.745361,2122.648193,1.165289,1.165478,1.165349,1.165803,1.165971,1.165918,1.165607,1.165481,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.652974,-0.179120,0.065032,0.129273,0.214771,-0.435825,-0.683270,-0.803182
142.076996,26.987160,22.657703,27.285999,1730.225220,474.215271,-172.310852,-341.619843,-567.863464,1153.067017,1806.987915,2123.980957,1.165288,1.165450,1.165316,1.165810,1.165915,1.165849,1.165576,1.165498,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.654694,-0.179437,0.065200,0.129264,0.214872,-0.436305,-0.683740,-0.803686
145.330994,27.007645,22.636412,27.283812,1727.805786,475.013336,-170.718582,-340.630585,-566.236267,1155.319458,1809.803955,2126.525146,1.165291,1.165470,1.165295,1.165802,1.165933,1.165896,1.165549,1.165505,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.653778,-0.179739,0.064598,0.128890,0.214256,-0.437157,-0.684806,-0.804649
148.589996,26.988440,22.565481,27.282188,1727.701782,475.513672,-170.078384,-338.928070,-563.713745,1157.181519,1811.638672,2128.717773,1.165302,1.165444,1.165271,1.165786,1.165967,1.165919,1.165553,1.165470,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.653739,-0.179928,0.064355,0.128246,0.213302,-0.437862,-0.685500,-0.805478
151.850006,27.006577,22.601820,27.285938,1728.374756,477.318054,-167.821457,-336.079285,-560.478333,1160.004883,1814.462280,2131.667725,1.165331,1.165495,1.165309,1.165788,1.165970,1.165910,1.165607,1.165488,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.653994,-0.180611,0.063501,0.127168,0.212077,-0.438930,-0.686568,-0.806594
155.110992,27.013191,22.645027,27.286501,1729.743774,478.281830,-166.192139,-334.530029,-559.231201,1161.544556,1815.167725,2132.415039,1.165294,1.165463,1.165270,1.165755,1.165940,1.165873,1.165585,1.165456,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.654512,-0.180975,0.062885,0.126582,0.211606,-0.439513,-0.686835,-0.806877
158.376999,27.016232,22.668381,27.282375,1728.920898,479.897003,-164.826569,-333.082245,-557.818726,1162.825562,1816.407227,2134.252441,1.165296,1.165458,1.165275,1.165739,1.165917,1.165853,1.165541,1.165447,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.654200,-0.181587,0.062368,0.126034,0.211071,-0.439998,-0.687304,-0.807572
161.636993,27.000336,22.679556,27.284250,1730.721191,481.321320,-163.917557,-332.126160,-557.762878,1163.311890,1816.987671,2134.060547,1.165272,1.165432,1.165282,1.165776,1.165908,1.165877,1.165558,1.165475,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.654882,-0.182126,0.062024,0.125672,0.211050,-0.440182,-0.687524,-0.807500
164.904007,27.009991,22.675123,27.281750,1730.462769,482.420746,-163.171890,-331.529236,-557.063843,1163.785645,1816.763306,2133.678223,1.165295,1.165451,1.165323,1.165734,1.165942,1.165882,1.165539,1.165454,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.654784,-0.182542,0.061742,0.125446,0.210785,-0.440361,-0.687439,-0.807355
168.162003,27.013565,22.671503,27.282812,1731.389160,483.005219,-163.241821,-331.933990,-557.461121,1162.630981,1815.659668,2133.630615,1.165280,1.165442,1.165264,1.165744,1.165940,1.165887,1.165571,1.165483,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.655134,-0.182763,0.061769,0.125599,0.210936,-0.439924,-0.687021,-0.807337
171.419006,27.012924,22.687923,27.283312,1730.878418,482.832550,-163.863083,-332.022430,-558.109680,1162.770630,1814.695190,2132.169434,1.165278,1.165451,1.165246,1.165785,1.165951,1.165870,1.165527,1.165457,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.654941,-0.182697,0.062004,0.125633,0.211181,-0.439977,-0.686656,-0.806784
174.671005,27.030422,22.671314,27.285376,1731.042603,482.657257,-164.578644,-332.757080,-559.340454,1162.065796,1814.894897,2132.349121,1.165256,1.165453,1.165262,1.165742,1.165898,1.165864,1.165519,1.165440,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.655003,-0.182631,0.062274,0.125911,0.211647,-0.439710,-0.686732,-0.806852
177.936996,27.012072,22.660887,27.279499,1730.338257,482.977661,-165.007370,-333.290558,-560.159607,1161.703979,1813.795044,2132.427246,1.165250,1.165400,1.165255,1.165729,1.165885,1.165806,1.165522,1.165443,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.654737,-0.182752,0.062437,0.126113,0.211957,-0.439573,-0.686316,-0.806882
181.195999,27.022474,22.671877,27.283812,1731.076904,482.563507,-166.186874,-334.109161,-561.364624,1160.364746,1812.391968,2130.358398,1.165280,1.165442,1.165230,1.165727,1.165899,1.165838,1.165563,1.165455,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.655016,-0.182596,0.062883,0.126422,0.212413,-0.439066,-0.685785,-0.806099
184.449997,27.011324,22.648836,27.282688,1729.438965,481.812653,-167.405106,-336.131409,-563.005310,1159.090698,1811.322388,2129.530518,1.165257,1.165429,1.165254,1.165698,1.165903,1.165833,1.165508,1.165459,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.654396,-0.182311,0.063344,0.127188,0.213034,-0.438584,-0.685380,-0.805786
187.710007,27.004177,22.622551,27.281626,1728.754028,480.684326,-169.041367,-337.356018,-564.483948,1157.197632,1808.949097,2128.424561,1.165281,1.165428,1.165263,1.165739,1.165925,1.165874,1.165570,1.165473,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.654137,-0.181884,0.063963,0.127651,0.213593,-0.437868,-0.684482,-0.805367
190.970993,27.009138,22.642780,27.283375,1727.444092,480.128021,-170.299164,-338.706879,-566.467407,1155.818115,1808.785889,2126.947021,1.165210,1.165408,1.165200,1.165702,1.165833,1.165854,1.165527,1.165465,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.653642,-0.181674,0.064439,0.128162,0.214344,-0.437346,-0.684420,-0.804808
194.227997,26.997988,22.665258,27.283375,1726.876587,478.709930,-171.596191,-340.066376,-567.940979,1154.765991,1807.307739,2125.851807,1.165256,1.165425,1.165271,1.165740,1.165861,1.165801,1.165462,1.165427,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.653427,-0.181137,0.064930,0.128677,0.214901,-0.436948,-0.683861,-0.804394
197.485001,27.004498,22.678432,27.283125,1726.341187,478.372955,-172.438065,-341.131866,-568.856079,1154.074341,1806.004028,2125.625732,1.165281,1.165453,1.165316,1.165770,1.165915,1.165842,1.165537,1.165457,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.653224,-0.181010,0.065248,0.129080,0.215247,-0.436686,-0.683368,-0.804308
200.751999,26.995642,22.677809,27.284437,1724.622070,476.686646,-174.936691,-343.048584,-571.409180,1151.682007,1804.633545,2123.272705,1.165246,1.165412,1.165246,1.165720,1.165876,1.165801,1.165527,1.165448,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.652574,-0.180372,0.066194,0.129805,0.216214,-0.435781,-0.682849,-0.803418
204.001007,26.981558,22.678432,27.283438,1724.067627,475.372070,-176.385315,-344.332855,-573.149048,1150.318604,1802.864868,2122.024658,1.165314,1.165474,1.165292,1.165764,1.165923,1.165849,1.165565,1.165473,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.652364,-0.179874,0.066742,0.130291,0.216872,-0.435265,-0.682180,-0.802946
207.255997,26.969769,22.662012,27.284313,1722.433228,474.018097,-179.041718,-346.220856,-574.931274,1149.175903,1802.199707,2121.798340,1.165291,1.165428,1.165287,1.165748,1.165919,1.165833,1.165510,1.165462,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.651746,-0.179362,0.067747,0.131005,0.217546,-0.434833,-0.681928,-0.802860
210.509995,26.951845,22.664696,27.282249,1721.271973,472.973450,-180.960937,-347.926147,-576.899902,1146.808105,1799.286865,2119.072754,1.165317,1.165478,1.165283,1.165769,1.165925,1.165891,1.165584,1.165517,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.651306,-0.178967,0.068473,0.131651,0.218291,-0.433937,-0.680826,-0.801829
213.764008,26.945925,22.660700,27.281687,1719.663818,470.795776,-183.327988,-350.418610,-580.055969,1144.501709,1797.116821,2118.023926,1.165341,1.165505,1.165353,1.165804,1.165945,1.165859,1.165556,1.165492,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.650698,-0.178143,0.069369,0.132594,0.219485,-0.433064,-0.680005,-0.801432
217.020996,26.953926,22.665382,27.281124,1717.966187,468.503845,-185.638367,-352.283203,-581.842407,1142.802612,1794.995850,2115.937012,1.165317,1.165512,1.165326,1.165813,1.165987,1.165888,1.165561,1.165558,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.650055,-0.177276,0.070243,0.133299,0.220161,-0.432421,-0.679202,-0.800642
220.279007,26.953819,22.662573,27.280813,1715.472046,467.456970,-187.664795,-354.661255,-584.493347,1140.986816,1792.522827,2115.320312,1.165377,1.165484,1.165288,1.165757,1.165940,1.165888,1.165556,1.165503,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.649112,-0.176879,0.071010,0.134199,0.221164,-0.431734,-0.678267,-0.800409
223.535004,26.948484,22.658077,27.282125,1713.304932,465.227722,-190.349960,-357.026276,-587.396423,1138.656738,1790.257080,2112.933594,1.165349,1.165530,1.165340,1.165819,1.165987,1.165915,1.165604,1.165533,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.648292,-0.176036,0.072026,0.135094,0.222263,-0.430852,-0.677409,-0.799506
226.794006,26.965876,22.663572,27.281124,1713.058228,463.466797,-192.495438,-359.088440,-589.294434,1136.697998,1787.439941,2110.965332,1.165327,1.165518,1.165319,1.165793,1.165990,1.165887,1.165592,1.165522,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.648198,-0.175370,0.072838,0.135874,0.222981,-0.430111,-0.676343,-0.798761
230.050003,26.964436,22.662386,27.280001,1711.377197,461.576202,-195.097473,-361.392883,-592.140991,1135.063110,1786.115601,2109.738281,1.165319,1.165513,1.165350,1.165840,1.165986,1.165941,1.165607,1.165531,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.647562,-0.174654,0.073822,0.136746,0.224058,-0.429493,-0.675842,-0.798297
233.306000,26.957926,22.676373,27.280937,1708.314697,459.643311,-197.707962,-364.295776,-595.036804,1132.469482,1783.993652,2107.598633,1.165377,1.165538,1.165379,1.165830,1.165992,1.165947,1.165596,1.165529,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.646403,-0.173923,0.074810,0.137845,0.225154,-0.428511,-0.675039,-0.797487
