T  (s),CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Inj.,Val.
5700.129883,4202.717773,4412.861816,3979.488281,-577.818237,-1393.683105,-1536.239746,-811.257935,-2762.772461,11.0,1.0
5703.529785,4203.139648,4412.351074,3978.975586,-578.974792,-1394.523437,-1536.196533,-811.298828,-2761.0979,11.0,1.0
5706.970215,4208.273437,4411.845215,3978.650635,-580.401428,-1394.168335,-1534.038452,-809.618225,-2761.119629,11.0,1.0
5710.379883,4211.001953,4411.320801,3978.670166,-579.948608,-1392.7854,-1537.81189,-812.306824,-2763.552002,11.0,1.0
5713.819824,4215.508789,4411.276367,3978.265381,-580.451721,-1395.036865,-1536.397461,-810.49408,-2767.120605,11.0,1.0
5717.220215,4215.342773,4410.375,3978.307373,-580.253784,-1393.283081,-1536.075073,-809.969238,-2761.741943,11.0,1.0
5720.629883,4215.662109,4409.351074,3969.092773,-578.682739,-1393.591309,-1536.306885,-808.926331,-2764.318848,11.0,1.0
5724.029785,4202.754395,4405.823242,3977.890381,-578.902344,-1393.710815,-1535.082886,-808.568604,-2763.116699,11.0,1.0
5727.470215,4202.378418,4409.224121,3977.868652,-578.485718,-1392.766968,-1535.218384,-809.866028,-2761.705811,11.0,1.0
5730.919922,4203.535156,4408.110352,3978.19043,-579.730652,-1394.043213,-1536.631836,-809.763611,-2762.787598,11.0,1.0
5734.279785,4202.638184,4407.296875,3978.543701,-579.343994,-1392.943237,-1536.038208,-810.007812,-2764.675049,11.0,1.0
5737.720215,4203.948242,4407.443359,3978.102539,-581.045105,-1392.839722,-1535.769897,-809.199036,-2764.723389,11.0,1.0
5741.129883,4202.655762,4406.966797,3978.821289,-580.008484,-1392.096436,-1536.175171,-805.287842,-2765.161865,11.0,1.0
5744.569824,4204.230957,4406.92334,3978.456055,-581.043213,-1391.818359,-1535.342651,-810.371277,-2764.641846,11.0,1.0
5747.970215,4204.132812,4406.005859,3978.419678,-579.325317,-1388.960937,-1536.517456,-807.993958,-2761.299561,11.0,1.0
5751.419922,4203.853516,4405.630371,3978.721191,-580.134521,-1395.865112,-1536.287598,-809.399841,-2763.309814,11.0,1.0
5754.819824,4203.397461,4404.993164,3978.5896,-580.502747,-1392.863281,-1535.818237,-807.921204,-2758.746582,11.0,1.0
5758.279785,4203.766602,4404.875488,3978.600586,-579.219971,-1391.290405,-1535.679565,-808.326721,-2760.086426,11.0,1.0
5761.669922,4202.305664,4403.854492,3979.735596,-579.157776,-1391.796265,-1533.721924,-808.400635,-2758.744385,11.0,1.0
5765.129883,4203.589844,4403.989258,3978.571533,-579.932007,-1390.032959,-1536.286865,-809.391907,-2761.406494,11.0,1.0
5768.529785,4202.779297,4403.242676,3978.609131,-578.612183,-1393.858887,-1536.159546,-811.243408,-2762.596924,11.0,1.0
5771.970215,4203.803711,4402.938965,3978.632812,-580.192078,-1392.360107,-1535.772949,-808.163818,-2756.866455,11.0,1.0
5775.419922,4215.936035,4402.576172,3978.50293,-580.809448,-1393.286865,-1536.523926,-805.452637,-2760.041748,11.0,1.0
