time /min,deflection /nm,,,,,,,,injection,deflection /nm,deflection /nm,,,,,,,differential deflection /nm,,,,differential deflection /nm,,,,differential deflection /nm,,,,differential deflection /nm,,,,differential deflection /nm,,,,,,differential deflection /nm,,,,,,differential deflection /nm,,differential deflection /nm,
,CL1 cBAK2,CL2 polyAC,CL3 cBAK2,CL4 polyAC,CL5 cBAK2,CL6 polyAC,CL7 cBAK2,CL8 polyAC,,CL1 cBAK2,CL2 polyAC,CL3 cBAK2,CL4 polyAC,CL5 cBAK2,CL6 polyAC,CL7 cBAK2,CL8 polyAC,CL1 cBAK2-CL2 polyAC,CL1 cBAK2-CL4 polyAC,CL1 cBAK2-CL6 polyAC,CL1 cBAK2-CL8 polyAC,CL3 cBAK2-CL2 polyAC,CL3 cBAK2-CL4 polyAC,CL3 cBAK2-CL6 polyAC,CL3 cBAK2-CL8 polyAC,CL5 cBAK2-CL2 polyAC,CL5 cBAK2-CL4 polyAC,CL5 cBAK2-CL6 polyAC,CL5 cBAK2-CL8 polyAC,CL7 cBAK2-CL2 polyAC,CL7 cBAK2-CL4 polyAC,CL7 cBAK2-CL6 polyAC,CL7 cBAK2-CL8 polyAC,CL1 cBAK2-CL3 cBAK2,CL1 cBAK2-CL5 cBAK2,CL1 cBAK2-CL7 cBAK2,CL3 cBAK2-CL5 cBAK2,CL3 cBAK2-CL7 cBAK2,CL5 cBAK2-CL7 cBAK2,CL2 polyAC-CL4 polyAC,CL2 polyAC-CL6 polyAC,CL2 polyAC-CL8 polyAC,CL4 polyAC-CL6 polyAC,CL4 polyAC-CL8 polyAC,CL6 polyAC-CL8 polyAC,mean ( cBAK2 -  polyAC CLs),,Zero,
132.5928304,-1.33504832745815,-1.08960846517368,-3.83261848552928,-5.60032921745665,-7.33163605345658,-7.19740091395579,-8.77401457617259,-7.97299045374246,2,1.33504832745815,1.08960846517368,3.83261848552928,5.60032921745665,7.33163605345658,7.19740091395579,8.77401457617259,7.97299045374246,0.24543986228447,-4.2652808899985,-5.86235258649764,-6.63794212628431,2.7430100203556,-1.76771073192737,-3.36478242842651,-4.14037196821318,6.2420275882829,1.73130683599993,0.134235139500788,-0.641354400285881,7.68440611099891,3.17368535871594,1.5766136622168,0.801024122430132,-2.49757015807113,-5.99658772599843,-7.43896624871444,-3.4990175679273,-4.94139609064331,-1.44237852271601,-4.51072075228296,-6.10779244878211,-6.88338198856878,-1.59707169649914,-2.37266123628581,-0.775589539786669,-0.146752901927994,4.08322169657624,-4.00526116468967,2.28801397370193
132.648665366667,-2.51092442878983,-1.40579761543881,-4.45327364906168,-5.69514761324552,-7.01966714777143,-8.14501623466174,-9.12928707750337,-3.14318817770016,2,2.51092442878983,1.40579761543881,4.45327364906168,5.69514761324552,7.01966714777143,8.14501623466174,9.12928707750337,3.14318817770016,1.10512681335101,-3.1842231844557,-5.63409180587191,-0.63226374891033,3.04747603362287,-1.24187396418385,-3.69174258560006,1.31008547136152,5.61386953233262,1.32451953452591,-1.12534908689031,3.87647897007127,7.72348946206455,3.43413946425784,0.984270842841624,5.98609889980321,-1.94234922027185,-4.5087427189816,-6.61836264871354,-2.56639349870975,-4.67601342844169,-2.10961992973193,-4.28934999780671,-6.73921861922293,-1.73739056226134,-2.44986862141622,2.55195943554537,5.00182805696158,1.18100066552002,3.69840445842918,-2.50696014608755,3.43451389948188
132.706331383333,-1.99111497036989,-2.00233782175008,-3.88477305329201,-6.83912708119607,-7.80605843746003,-8.90711696144115,-9.09700222344486,-7.15968271413664,2,1.99111497036989,2.00233782175008,3.88477305329201,6.83912708119607,7.80605843746003,8.90711696144115,9.09700222344486,7.15968271413664,-0.0112228513801833,-4.84801211082618,-6.91600199107126,-5.16856774376675,1.88243523154193,-2.95435402790406,-5.02234390814914,-3.27490966084463,5.80372061570995,0.966931356263956,-1.10105852398112,0.646375723323388,7.09466440169479,2.25787514224879,0.189885262003713,1.93731950930822,-1.89365808292212,-5.81494346709013,-7.10588725307497,-3.92128538416802,-5.21222917015285,-1.29094378598484,-4.83678925944599,-6.90477913969107,-5.15734489238656,-2.06798988024508,-0.320555632940568,1.74743424730451,-0.532328973489286,3.97664067703071,-3.56491430839981,2.77491519605758
132.762996416667,-2.77695250233936,-1.9921824809345,-4.54631164193344,-6.3607299010215,-8.71538907364425,-10.0192294252715,-10.0855972285229,-7.55704857248822,2,2.77695250233936,1.9921824809345,4.54631164193344,6.3607299010215,8.71538907364425,10.0192294252715,10.0855972285229,7.55704857248822,0.784770021404852,-3.58377739868215,-7.24227692293218,-4.78009607014886,2.55412916099893,-1.81441825908807,-5.4729177833381,-3.01073693055478,6.72320659270975,2.35465917262275,-1.30384035162729,1.15834050115603,8.09341474758844,3.72486732750144,0.0663678032514099,2.52854865603473,-1.76935913959408,-5.93843657130489,-7.30864472618359,-4.16907743171081,-5.53928558658951,-1.3702081548787,-4.368547420087,-8.02704694433703,-5.56486609155371,-3.65849952425003,-1.19631867146671,2.46218085278332,0.0487650166810573,4.29820013298944,-3.87067578409773,2.97462439861588
132.820336916667,-2.38229720852952,-1.74012023475882,-5.3697622714711,-6.54233885130543,-8.7512212698814,-10.0141366659178,-10.8219773351162,-10.7023453302385,2,2.38229720852952,1.74012023475882,5.3697622714711,6.54233885130543,8.7512212698814,10.0141366659178,10.8219773351162,10.7023453302385,0.642176973770701,-4.16004164277591,-7.6318394573883,-8.32004812170902,3.62964203671228,-1.17257657983433,-4.64437439444672,-5.33258305876745,7.01110103512258,2.20888241857597,-1.26291539603642,-1.95112406035715,9.08185710035741,4.2796384838108,0.807840669198413,0.119632004877687,-2.98746506294158,-6.36892406135188,-8.43968012658671,-3.3814589984103,-5.45221506364514,-2.07075606523483,-4.80221861654661,-8.274016431159,-8.96222509547973,-3.47179781461239,-4.16000647893311,-0.688208664320726,-0.418420749305591,4.9520371695074,-4.92158103993517,2.64878295776744
132.877164716667,-2.94540115427278,-1.50778256943261,-4.97839175103718,-7.56044689009213,-8.82989791710668,-10.1266673379595,-10.5343933257695,-6.70941837444645,2,2.94540115427278,1.50778256943261,4.97839175103718,7.56044689009213,8.82989791710668,10.1266673379595,10.5343933257695,6.70941837444645,1.43761858484017,-4.61504573581935,-7.1812661836867,-3.76401722017367,3.47060918160457,-2.58205513905494,-5.1482755869223,-1.73102662340927,7.32211534767407,1.26945102701455,-1.2967694208528,2.12047954266023,9.02661075633694,2.97394643567742,0.407725987810068,3.8249749513231,-2.0329905967644,-5.8844967628339,-7.58899217149677,-3.8515061660695,-5.55600157473236,-1.70449540866287,-6.05266432065952,-8.61888476852687,-5.20163580501384,-2.56622044786735,0.851028515645677,3.41724896351303,0.345942244063882,4.48646836179701,-3.73246754528906,3.50000269742039
132.934497066667,-2.02389369526333,-1.11465696053722,-5.08650588101891,-8.17620683524894,-9.43168301275,-10.1715356669927,-10.8933657808223,-9.88653738129094,2,2.02389369526333,1.11465696053722,5.08650588101891,8.17620683524894,9.43168301275,10.1715356669927,10.8933657808223,9.88653738129094,0.909236734726114,-6.1523131399856,-8.14764197172934,-7.86264368602761,3.97184892048169,-3.08970095423003,-5.08502978597376,-4.80003150027203,8.31702605221278,1.25547617750107,-0.739852654242668,-0.454854368540939,9.77870882028503,2.71715894557332,0.721830113829583,1.00682839953131,-3.06261218575558,-7.40778931748667,-8.86947208555892,-4.34517713173109,-5.80685989980334,-1.46168276807225,-7.06154987471172,-9.05687870645545,-8.77188042075372,-1.99532883174373,-1.71033054604201,0.284998285701729,-0.478372118553817,5.25030405573185,-4.9387136235344,3.31380971502182
132.990332033333,-3.24615679659533,-1.33221311080274,-5.40076404455147,-8.36373823103793,-9.90352810706509,-11.1171979876987,-11.8381162821531,-14.4383376082072,2,3.24615679659533,1.33221311080274,5.40076404455147,8.36373823103793,9.90352810706509,11.1171979876987,11.8381162821531,14.4383376082072,1.91394368579259,-5.1175814344426,-7.87104119110333,-11.1921808116119,4.06855093374873,-2.96297418648646,-5.71643394314719,-9.03757356365572,8.57131499626235,1.53978987602716,-1.21366988063357,-4.53480950114211,10.5059031713504,3.4743780511152,0.720918294454464,-2.60022132605407,-2.15460724795614,-6.65737131046976,-8.5919594855578,-4.50276406251361,-6.43735223760165,-1.93458817508804,-7.03152512023519,-9.78498487689592,-13.1061244974045,-2.75345975666073,-6.07459937716927,-3.32113962050853,-1.21573042684538,6.1139880760068,-6.02920631400509,3.3642074249805
133.04799805,-3.07351533817563,-1.36527731711465,-5.27098444878179,-8.76717869898835,-11.0109643967537,-11.981959714478,-12.7840414280945,-9.12579417027789,2,3.07351533817563,1.36527731711465,5.27098444878179,8.76717869898835,11.0109643967537,11.981959714478,12.7840414280945,9.12579417027789,1.70823802106099,-5.69366336081272,-8.90844437630234,-6.05227883210226,3.90570713166714,-3.49619425020656,-6.71097526569618,-3.8548097214961,9.64568707963906,2.24378569776536,-0.97099531772426,1.88517022647582,11.4187641109799,4.01686272910615,0.802081713616531,3.65824725781661,-2.19746911060616,-7.93744905857808,-9.71052608991887,-5.73997994797192,-7.51305697931271,-1.77307703134079,-7.4019013818737,-10.6166823973633,-7.76051685316324,-3.21478101548962,-0.358615471289543,2.85616554420008,0.224823927736694,5.77934423500653,-5.11399081605899,4.12506167446698
133.104663083333,-3.62986087014471,-1.43715297629808,-4.62368503742329,-7.90822651881393,-11.3007870329377,-12.6193411783086,-12.5132974331726,-15.2030959431275,2,3.62986087014471,1.43715297629808,4.62368503742329,7.90822651881393,11.3007870329377,12.6193411783086,12.5132974331726,15.2030959431275,2.19270789384663,-4.27836564866922,-8.98948030816385,-11.5732350729828,3.18653206112521,-3.28454148139064,-7.99565614088527,-10.5794109057042,9.86363405663963,3.39256051412377,-1.31855414537085,-3.90230891018982,11.0761444568745,4.60507091435869,-0.106043745135935,-2.68979850995491,-0.993824167278583,-7.670926162793,-8.88343656302792,-6.67710199551441,-7.88961239574933,-1.21251040023492,-6.47107354251585,-11.1821882020105,-13.7659429668295,-4.71111465949463,-7.2948694243136,-2.58375476481897,-1.27504656071744,6.7604187128975,-6.61136293704843,3.82607654465189
