T  (s)	T1	T2	T3	CL1cBAK2	CL2polyAC	CL3cBAK2	CL4polyAC	CL5cBAK2	CL6polyAC	CL7cBAK2	CL8polyAC	Sum1	Sum2	Sum3	Sum4	Sum5	Sum6	Sum7	Sum8	Inj.	Val.	Vol.	Flow	Tim.	Setpoint	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8
151.649002	26.990334	22.635599	27.059875	-250.769867	311.899658	-551.765808	314.375519	392.709290	56.714127	267.569885	-65.848740	1.035321	1.035538	1.035419	1.036211	1.036287	1.036508	1.035957	1.036027	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094888	-0.118019	0.208781	-0.118955	-0.148596	-0.021460	-0.101245	0.024916
154.901001	27.003670	22.604755	27.060249	-250.720703	312.221588	-551.442688	314.306458	393.475128	56.884727	267.892395	-64.980019	1.035591	1.035669	1.035332	1.036326	1.036296	1.036449	1.035995	1.036088	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094869	-0.118140	0.208659	-0.118929	-0.148886	-0.021524	-0.101367	0.024588
158.154007	26.991293	22.608814	27.061501	-251.213837	311.485931	-551.425720	314.485352	390.848450	55.904785	266.970093	-57.082214	1.035452	1.035687	1.035344	1.036083	1.036217	1.036439	1.036070	1.036017	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095056	-0.117862	0.208652	-0.118997	-0.147892	-0.021154	-0.101018	0.021599
161.408005	26.991293	22.624861	27.061750	-250.892670	311.743652	-551.737915	314.040588	390.081512	56.365852	267.673248	-63.386124	1.035399	1.035617	1.035313	1.036366	1.036330	1.036603	1.036207	1.036081	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094934	-0.117960	0.208770	-0.118829	-0.147602	-0.021328	-0.101284	0.023984
164.662994	27.006283	22.632290	27.060562	-250.974625	311.399658	-552.129822	313.618896	391.767578	56.623047	266.971771	-60.499992	1.035659	1.037007	1.035692	1.036494	1.036417	1.036737	1.036132	1.036197	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094965	-0.117829	0.208919	-0.118669	-0.148240	-0.021425	-0.101019	0.022892
167.914001	27.012579	22.623611	27.061375	-251.796417	311.060425	-552.082397	313.631653	391.072235	55.845528	266.735352	-65.062843	1.035821	1.035960	1.035792	1.036722	1.036767	1.037192	1.037402	1.036380	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095276	-0.117701	0.208901	-0.118674	-0.147976	-0.021131	-0.100929	0.024619
171.171005	27.015886	22.624985	27.062750	-251.746689	311.213287	-552.204590	313.751678	389.077423	55.932808	266.684814	-62.837276	1.035830	1.035822	1.035474	1.036467	1.036492	1.036669	1.036113	1.036033	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095258	-0.117759	0.208947	-0.118719	-0.147222	-0.021164	-0.100910	0.023777
174.425995	27.015993	22.642967	27.060749	-250.997833	310.952393	-552.051636	313.291656	391.289337	55.675320	266.772705	-56.835541	1.035601	1.035977	1.035591	1.036653	1.036587	1.036871	1.036492	1.036183	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094974	-0.117660	0.208889	-0.118545	-0.148059	-0.021067	-0.100943	0.021506
177.677994	27.023354	22.626984	27.062250	-251.737930	310.891235	-552.213074	313.302612	391.268463	55.504723	266.245911	-65.068169	1.035648	1.035891	1.035632	1.036482	1.036407	1.036586	1.036292	1.036207	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095254	-0.117637	0.208950	-0.118549	-0.148051	-0.021002	-0.100744	0.024621
180.929001	27.013004	22.631292	27.061438	-252.069519	310.463135	-552.880371	312.809998	390.127899	55.297024	266.094788	-61.605682	1.035947	1.036189	1.035997	1.036852	1.036990	1.037737	1.036765	1.036054	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095380	-0.117475	0.209202	-0.118363	-0.147619	-0.020924	-0.100687	0.023311
