T  (s)	T1	T2	T3	5然cBAK2	5然polyAC	5然cBAK2	5然polyAC	40然cBAK2	40然polyAC	40然cBAK2	40然polyAC	Sum1	Sum2	Sum3	Sum4	Sum5	Sum6	Sum7	Sum8	Inj.	Val.	Vol.	Flow	Tim.	Setpoint	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8
86.525002	27.011297	22.635412	26.971437	-2144.603271	1175.213623	-264.592834	499.004974	-268.630585	220.893951	112.174316	892.634216	1.148131	1.148261	1.148077	1.148610	1.148732	1.148811	1.148517	1.148460	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811489	-0.444685	0.100118	-0.188817	0.101646	-0.083583	-0.042445	-0.337761
89.776001	27.003990	22.646339	26.972250	-2145.038330	1174.743408	-264.573486	498.817657	-268.881226	220.643753	112.224083	892.594604	1.148112	1.148233	1.148045	1.148600	1.148771	1.148791	1.148489	1.148443	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811654	-0.444507	0.100111	-0.188746	0.101741	-0.083489	-0.042464	-0.337746
93.035004	26.999615	22.626484	26.973688	-2144.702637	1174.746338	-264.849457	499.195770	-268.843323	220.634094	112.247742	892.017700	1.148104	1.148250	1.148024	1.148612	1.148789	1.148804	1.148505	1.148443	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811527	-0.444508	0.100215	-0.188889	0.101727	-0.083485	-0.042473	-0.337528
96.294998	27.001057	22.631353	26.972063	-2144.296875	1175.703857	-263.964996	499.224976	-267.973511	220.874954	112.700356	893.125244	1.148132	1.148274	1.148073	1.148605	1.148789	1.148837	1.148516	1.148481	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811373	-0.444871	0.099881	-0.188900	0.101398	-0.083576	-0.042644	-0.337947
99.549004	27.009644	22.639408	26.974438	-2144.311523	1174.998169	-264.650848	498.104370	-269.015167	220.444672	112.278496	892.154846	1.148098	1.148202	1.148035	1.148579	1.148730	1.148811	1.148471	1.148402	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811379	-0.444604	0.100140	-0.188476	0.101792	-0.083413	-0.042485	-0.337579
102.810997	27.008631	22.644966	26.975124	-2144.638428	1174.663330	-264.295563	498.158875	-268.980896	220.394180	112.229767	893.017151	1.148085	1.148208	1.148025	1.148573	1.148735	1.148796	1.148481	1.148436	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811502	-0.444477	0.100006	-0.188497	0.101779	-0.083394	-0.042466	-0.337906
106.076004	27.009005	22.629169	26.973249	-2144.644531	1174.456543	-264.583374	500.185303	-268.738098	220.107330	112.254959	892.506165	1.148064	1.148178	1.148039	1.148584	1.148744	1.148776	1.148467	1.148422	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811505	-0.444399	0.100115	-0.189263	0.101687	-0.083286	-0.042476	-0.337712
109.338997	27.011137	22.616930	26.973438	-2144.605225	1174.936890	-264.791901	499.263214	-268.714386	220.217560	111.993759	892.106628	1.148071	1.148187	1.147993	1.148572	1.148725	1.148831	1.148474	1.148417	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811490	-0.444580	0.100194	-0.188914	0.101678	-0.083327	-0.042377	-0.337561
112.592003	27.010498	22.646902	26.972750	-2144.392334	1174.936890	-265.103912	499.792938	-268.662933	220.164658	112.442177	892.133362	1.148116	1.148192	1.148008	1.148550	1.148723	1.148763	1.148449	1.148380	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811409	-0.444580	0.100312	-0.189115	0.101658	-0.083307	-0.042547	-0.337571
115.845001	26.987986	22.632915	26.973125	-2144.084229	1174.873779	-264.801300	499.087280	-268.948181	219.917130	112.443871	892.479065	1.148016	1.148187	1.147992	1.148532	1.148710	1.148754	1.148432	1.148367	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811293	-0.444556	0.100197	-0.188848	0.101766	-0.083214	-0.042547	-0.337702
119.109001	27.005110	22.622112	26.972876	-2143.145264	1175.375122	-264.046722	498.836914	-268.173950	220.454666	112.685295	892.147888	1.148053	1.148200	1.148044	1.148577	1.148742	1.148770	1.148461	1.148394	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.810937	-0.444746	0.099912	-0.188753	0.101473	-0.083417	-0.042639	-0.337577
122.364998	27.002230	22.633539	26.974001	-2143.953613	1175.093872	-264.484283	497.908966	-268.893433	219.566650	112.123344	891.106689	1.148028	1.148157	1.147978	1.148563	1.148722	1.148795	1.148456	1.148403	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811243	-0.444640	0.100077	-0.188402	0.101746	-0.083081	-0.042426	-0.337183
125.625000	27.006018	22.629107	26.974688	-2144.453369	1174.720337	-264.943420	497.397522	-269.274109	219.287033	111.854164	891.135254	1.148044	1.148185	1.148025	1.148547	1.148742	1.148763	1.148415	1.148382	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811432	-0.444498	0.100251	-0.188209	0.101890	-0.082975	-0.042324	-0.337194
128.884995	26.991987	22.644840	26.974062	-2144.594971	1174.576538	-265.060333	499.052765	-269.317413	219.219620	111.847672	891.276550	1.148055	1.148207	1.148017	1.148552	1.148689	1.148756	1.148453	1.148407	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811486	-0.444444	0.100295	-0.188835	0.101906	-0.082950	-0.042322	-0.337247
132.141006	27.007244	22.586397	26.972500	-2143.914795	1174.970703	-265.072998	498.158234	-268.865204	219.663101	112.488480	892.085999	1.148064	1.148234	1.148039	1.148586	1.148734	1.148790	1.148492	1.148448	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811229	-0.444593	0.100300	-0.188496	0.101735	-0.083118	-0.042564	-0.337553
135.399994	27.000843	22.582964	26.974125	-2144.348145	1174.490234	-265.532806	496.814026	-269.252014	218.939117	112.002441	891.003174	1.148080	1.148225	1.148016	1.148589	1.148728	1.148791	1.148443	1.148390	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811393	-0.444411	0.100474	-0.187988	0.101881	-0.082844	-0.042380	-0.337144
138.664993	26.990921	22.551931	26.974751	-2144.683105	1174.102783	-265.411072	496.580139	-269.467316	218.846039	111.921928	891.134155	1.148078	1.148197	1.148035	1.148599	1.148753	1.148833	1.148469	1.148388	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811519	-0.444265	0.100428	-0.187899	0.101963	-0.082808	-0.042350	-0.337193
141.927002	26.985746	22.572910	26.973688	-2144.080566	1174.693848	-264.709320	497.321167	-268.954193	219.214279	112.531509	891.686523	1.148111	1.148231	1.148065	1.148634	1.148786	1.148828	1.148519	1.148442	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811291	-0.444488	0.100162	-0.188180	0.101769	-0.082948	-0.042580	-0.337402
145.186005	26.970917	22.544939	26.973312	-2144.059814	1174.460449	-264.659943	497.280487	-269.005371	219.063690	112.276733	891.310852	1.148084	1.148233	1.148078	1.148626	1.148801	1.148822	1.148496	1.148468	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811283	-0.444400	0.100144	-0.188164	0.101788	-0.082891	-0.042484	-0.337260
148.440994	26.984945	22.579092	26.973562	-2144.121338	1174.346069	-264.571014	496.724884	-269.161285	219.075104	112.597458	891.423584	1.148150	1.148267	1.148101	1.148604	1.148753	1.148829	1.148506	1.148459	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811307	-0.444357	0.100110	-0.187954	0.101847	-0.082895	-0.042605	-0.337303
151.701996	26.993000	22.589207	26.973188	-2144.189209	1174.679932	-264.213745	496.964417	-269.162354	219.070389	112.592705	891.931458	1.148135	1.148272	1.148112	1.148649	1.148782	1.148857	1.148547	1.148499	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811332	-0.444483	0.099975	-0.188045	0.101847	-0.082893	-0.042604	-0.337495
154.951996	26.959980	22.619303	26.973688	-2143.817627	1174.216187	-264.301575	496.173950	-269.109283	219.017303	112.821068	892.327087	1.148176	1.148296	1.148085	1.148619	1.148807	1.148833	1.148545	1.148489	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811192	-0.444308	0.100008	-0.187746	0.101827	-0.082873	-0.042690	-0.337645
158.205002	26.966915	22.632727	26.974188	-2144.084961	1174.215088	-264.463287	496.319489	-269.443512	218.900574	113.138649	892.443420	1.148141	1.148265	1.148069	1.148622	1.148759	1.148846	1.148529	1.148451	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811293	-0.444307	0.100069	-0.187801	0.101954	-0.082829	-0.042810	-0.337689
161.462997	26.954805	22.636286	26.974251	-2144.199951	1174.570068	-264.270294	496.784027	-268.845947	218.930908	112.980423	892.894531	1.148114	1.148284	1.148101	1.148638	1.148772	1.148800	1.148502	1.148461	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811336	-0.444441	0.099996	-0.187976	0.101728	-0.082841	-0.042750	-0.337859
164.723007	26.971769	22.630167	26.973499	-2143.831787	1175.057617	-264.350464	497.506836	-269.068695	218.906998	112.873878	893.156311	1.148139	1.148272	1.148110	1.148614	1.148819	1.148845	1.148522	1.148463	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811197	-0.444626	0.100027	-0.188250	0.101812	-0.082831	-0.042710	-0.337958
167.981003	26.977585	22.599634	26.973249	-2144.017090	1174.404907	-264.536133	497.419830	-269.443329	218.769058	113.122429	893.661438	1.148108	1.148254	1.148079	1.148622	1.148772	1.148817	1.148487	1.148448	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811267	-0.444379	0.100097	-0.188217	0.101954	-0.082779	-0.042804	-0.338149
171.250000	26.975290	22.618429	26.972813	-2144.540771	1174.439941	-264.684845	497.510071	-269.739502	218.661072	113.296066	893.900635	1.148127	1.148248	1.148083	1.148613	1.148769	1.148828	1.148507	1.148459	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811465	-0.444392	0.100153	-0.188251	0.102066	-0.082738	-0.042870	-0.338240
