T  (s),T1,T2,T3,CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
96.510002,27.006161,23.175884,26.965937,-3121.105957,5381.151367,1546.323975,2868.530029,-43.239807,865.704834,-2084.725586,132.831711,1.174381,1.174504,1.174538,1.174918,1.175109,1.174997,1.174858,1.174905,1.0,3.0,9900.0,50.0,480.0,27.0,1.180984,-2.036155,-0.585108,-1.085413,0.016361,-0.327571,0.788832,-0.050262
99.760002,26.999813,23.158089,26.96575,-3119.833496,5383.598145,1551.550781,2873.121582,-38.835369,870.069275,-2079.481201,139.085815,1.174426,1.174509,1.174538,1.174885,1.175098,1.17502,1.174808,1.174831,1.0,3.0,9900.0,50.0,480.0,27.0,1.180503,-2.037081,-0.587086,-1.087151,0.014695,-0.329223,0.786848,-0.052628
103.010002,27.009094,23.141106,26.964687,-3117.061523,5385.598145,1554.187256,2876.256836,-33.990925,876.953064,-2073.34375,145.849304,1.174414,1.174483,1.174537,1.174925,1.175125,1.175045,1.174913,1.174918,1.0,3.0,9900.0,50.0,480.0,27.0,1.179454,-2.037838,-0.588084,-1.088337,0.012862,-0.331827,0.784525,-0.055187
106.260002,27.007761,23.155529,26.964813,-3113.796387,5391.641113,1558.988037,2882.495361,-29.00909,881.659363,-2069.471436,148.825592,1.174388,1.174419,1.174516,1.174874,1.175063,1.174993,1.17486,1.174881,1.0,3.0,9900.0,50.0,480.0,27.0,1.178219,-2.040124,-0.5899,-1.090698,0.010977,-0.333608,0.78306,-0.056314
109.510002,27.00248,23.184626,26.964312,-3107.583984,5393.065918,1561.301025,2885.69751,-21.926889,886.115845,-2064.801514,154.968018,1.174379,1.174496,1.174566,1.17492,1.175149,1.175033,1.174872,1.174903,1.0,3.0,9900.0,50.0,480.0,27.0,1.175868,-2.040664,-0.590775,-1.091909,0.008297,-0.335294,0.781293,-0.058638
112.760002,27.007015,23.162024,26.964937,-3107.130859,5398.330566,1565.573242,2889.435303,-19.816631,889.818237,-2061.987549,155.33374,1.174426,1.174493,1.174552,1.17495,1.175105,1.175013,1.17485,1.174878,1.0,3.0,9900.0,50.0,480.0,27.0,1.175697,-2.042656,-0.592392,-1.093323,0.007498,-0.336695,0.780228,-0.058776
116.010002,26.989037,23.155155,26.9655,-3102.141602,5402.959473,1569.269897,2899.476807,39.393387,996.101379,-1967.418457,268.219666,1.174423,1.174498,1.174522,1.174937,1.175115,1.175007,1.17486,1.174872,1.0,3.0,9900.0,50.0,480.0,27.0,1.173809,-2.044407,-0.593791,-1.097123,-0.014906,-0.376911,0.744445,-0.101491
119.260002,26.956284,23.130491,26.964937,-3030.374023,5508.374023,1715.161377,3055.49292,156.370956,1084.318726,-1904.764038,344.689026,1.174461,1.174519,1.174558,1.174938,1.175137,1.17506,1.174923,1.174967,1.0,3.0,9900.0,50.0,480.0,27.0,1.146653,-2.084295,-0.648994,-1.156157,-0.059169,-0.410292,0.720737,-0.130426
122.510002,26.979061,23.142855,26.966875,-2867.274902,5642.772461,1831.274048,3142.083984,210.695694,1122.245239,-1867.961182,386.186401,1.174498,1.174527,1.174595,1.174963,1.175159,1.175091,1.17496,1.174931,1.0,3.0,9900.0,50.0,480.0,27.0,1.084938,-2.135149,-0.69293,-1.188922,-0.079724,-0.424643,0.706811,-0.146128
125.760002,26.963964,23.146038,26.964251,-2794.288818,5656.993652,1784.414551,3099.541504,197.701859,1113.862549,-1858.105103,415.89682,1.174463,1.174559,1.174609,1.175004,1.175185,1.17513,1.174967,1.174999,1.0,3.0,9900.0,50.0,480.0,27.0,1.057321,-2.14053,-0.675198,-1.172825,-0.074808,-0.421471,0.703082,-0.15737
