T  (s)	T1	T2	T3	CL1cBAK2	CL2polyAC	CL3cBAK2	CL4polyAC	CL5cBAK2	CL6polyAC	CL7cBAK2	CL8polyAC	Sum1	Sum2	Sum3	Sum4	Sum5	Sum6	Sum7	Sum8	Inj.	Val.	Vol.	Flow	Tim.	Setpoint	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8
86.500999	26.964355	21.783995	27.004999	-5562.892090	405.904816	4674.606934	1952.435059	-1170.040405	-968.459412	-5086.375488	-2561.564697	1.001164	1.002146	1.001669	1.002482	1.002682	1.002830	1.002193	1.002544	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104923	-0.153589	-1.768808	-0.738775	0.442728	0.366452	1.924616	0.969262
89.752998	26.960087	21.807159	27.004812	-5563.237305	406.210999	4672.454102	1950.595093	-1171.404541	-968.334167	-5086.062988	-2561.792236	1.001157	1.002161	1.001659	1.002490	1.002678	1.002874	1.002216	1.002561	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105054	-0.153705	-1.767994	-0.738079	0.443244	0.366405	1.924498	0.969348
93.012001	26.956886	21.832884	27.008125	-5564.157715	405.760712	4675.010254	1950.912598	-1171.191040	-968.531433	-5088.066895	-2559.752441	1.001130	1.002124	1.001610	1.002461	1.002708	1.002908	1.002203	1.002555	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105402	-0.153534	-1.768961	-0.738199	0.443163	0.366479	1.925256	0.968576
96.271004	26.967609	21.834259	27.004562	-5564.148437	405.610474	4674.282715	1952.151001	-1170.633545	-968.002869	-5087.839844	-2562.534180	1.001164	1.002144	1.001647	1.002473	1.002682	1.002886	1.002177	1.002515	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105399	-0.153478	-1.768686	-0.738668	0.442952	0.366279	1.925170	0.969628
99.527000	26.970863	21.819960	27.003687	-5562.783203	405.929413	4674.453125	1952.531006	-1171.010742	-968.318909	-5081.689453	-2561.369629	1.001145	1.002138	1.001654	1.002506	1.002695	1.002897	1.002240	1.002547	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104882	-0.153598	-1.768750	-0.738811	0.443095	0.366399	1.922843	0.969188
102.786003	26.967821	21.812405	27.006062	-5563.580566	405.258972	4674.377441	1952.946167	-1172.427979	-968.661987	-5084.311035	-2561.371338	1.001113	1.002133	1.001652	1.002472	1.002645	1.002858	1.002181	1.002539	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105184	-0.153345	-1.768722	-0.738969	0.443631	0.366529	1.923835	0.969189
106.042000	26.975183	21.816774	27.002625	-5564.637207	405.865479	4673.502930	1954.490845	-1172.159058	-968.996460	-5087.007812	-2561.947998	1.001123	1.002117	1.001649	1.002477	1.002667	1.002859	1.002184	1.002534	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105584	-0.153574	-1.768391	-0.739553	0.443529	0.366655	1.924855	0.969407
109.293999	26.971502	21.811781	27.006062	-5563.480957	405.249664	4673.798828	1952.019409	-1172.271118	-968.607056	-5087.279297	-2564.061768	1.001129	1.002118	1.001645	1.002422	1.002641	1.002857	1.002207	1.002521	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105146	-0.153341	-1.768503	-0.738618	0.443572	0.366508	1.924958	0.970206
112.546997	26.978758	21.818274	27.003124	-5564.015137	405.528015	4673.311035	1952.510376	-1172.323364	-969.047607	-5087.788574	-2561.703857	1.001114	1.002095	1.001564	1.002428	1.002597	1.002786	1.002134	1.002463	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105349	-0.153446	-1.768318	-0.738804	0.443591	0.366675	1.925151	0.969314
115.800003	26.990387	21.814402	27.004875	-5563.870117	405.277405	4674.370117	1952.103027	-1172.570801	-968.320740	-5087.163086	-2562.299316	1.001074	1.002081	1.001565	1.002437	1.002603	1.002809	1.002117	1.002480	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105294	-0.153352	-1.768719	-0.738649	0.443685	0.366400	1.924914	0.969540
119.053001	27.006229	21.799042	27.006250	-5565.484863	405.231049	4674.392090	1950.789062	-1172.929810	-969.063110	-5087.504883	-2562.708252	1.001091	1.002024	1.001596	1.002410	1.002587	1.002789	1.002092	1.002464	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105905	-0.153334	-1.768727	-0.738152	0.443821	0.366680	1.925043	0.969694
122.311996	27.004469	21.826015	27.007812	-5565.851562	404.368469	4673.973145	1951.667236	-1172.390015	-968.430115	-5088.795898	-2562.842773	1.001017	1.001968	1.001523	1.002333	1.002546	1.002756	1.002046	1.002402	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.106043	-0.153008	-1.768569	-0.738485	0.443617	0.366441	1.925532	0.969745
125.572998	26.993534	21.839252	27.005501	-5565.866699	404.282959	4674.299316	1951.582764	-1172.338257	-969.853821	-5087.569336	-2563.029785	1.000976	1.001978	1.001495	1.002345	1.002533	1.002753	1.002092	1.002443	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.106049	-0.152975	-1.768692	-0.738453	0.443597	0.366980	1.925068	0.969816
