T  (s),T1,T2,T3,CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5McBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
128.847,26.969742,22.549809,26.963125,-953.058716,-2070.118652,-1118.70459,-1197.8125,-2021.608154,-1019.706421,-959.775635,1822.165405,1.164999,1.165083,1.164936,1.165327,1.165455,1.165239,1.164815,0.374436,1.0,1.0,9800.0,50.0,600.0,27.0,0.360625,0.783305,0.423303,0.453236,0.764949,0.385843,0.363166,-0.689483
132.098007,26.956034,22.566481,26.965,-951.893066,-2068.770264,-1117.27771,-1195.795776,-2020.39624,-1019.906921,-958.536621,1821.89978,1.165018,1.165089,1.16492,1.165333,1.165464,1.165247,1.164774,0.373985,1.0,1.0,9800.0,50.0,600.0,27.0,0.360184,0.782795,0.422763,0.452473,0.764491,0.385919,0.362697,-0.689382
135.356995,26.968729,22.560799,26.964312,-950.848389,-2067.294922,-1116.259888,-1193.890381,-2019.526367,-1020.938354,-957.942444,1814.532349,1.165,1.165073,1.164909,1.165323,1.165444,1.165228,1.164781,0.374039,1.0,1.0,9800.0,50.0,600.0,27.0,0.359788,0.782237,0.422378,0.451752,0.764162,0.386309,0.362473,-0.686595
138.615997,26.977692,22.565105,26.964375,-949.75177,-2065.337646,-1115.29187,-1193.059937,-2018.807251,-1021.455811,-957.277344,1818.99939,1.165016,1.165104,1.164923,1.165343,1.165456,1.165216,1.164792,0.373648,1.0,1.0,9800.0,50.0,600.0,27.0,0.359373,0.781496,0.422011,0.451438,0.76389,0.386505,0.362221,-0.688285
141.876007,26.999189,22.55549,26.965437,-948.823853,-2063.586426,-1113.959229,-1191.59082,-2017.751587,-1022.353638,-956.010681,1816.029907,1.164993,1.165066,1.164904,1.165336,1.165462,1.165258,1.164783,0.373509,1.0,1.0,9800.0,50.0,600.0,27.0,0.359022,0.780833,0.421507,0.450882,0.76349,0.386845,0.361742,-0.687161
145.130005,27.00111,22.545813,26.963812,-947.715698,-2061.74707,-1112.173584,-1189.092163,-2016.223999,-1022.601379,-953.939758,1813.229126,1.164997,1.165041,1.164886,1.165298,1.165425,1.165214,1.164761,0.373253,1.0,1.0,9800.0,50.0,600.0,27.0,0.358603,0.780137,0.420832,0.449937,0.762912,0.386939,0.360958,-0.686102
148.393005,27.016685,22.572849,26.961624,-947.128418,-2060.5,-1111.040894,-1188.04834,-2015.844727,-1024.029907,-953.022888,1817.500244,1.164917,1.164968,1.164834,1.16524,1.165376,1.165141,1.16471,0.372837,1.0,1.0,9800.0,50.0,600.0,27.0,0.358381,0.779665,0.420403,0.449542,0.762769,0.387479,0.360611,-0.687718
151.643005,26.982706,22.573036,26.964251,-945.566833,-2058.549316,-1109.906372,-1185.927979,-2014.556396,-1023.861877,-951.821045,1810.750977,1.16493,1.16501,1.16485,1.165274,1.165417,1.165186,1.164733,0.372436,1.0,1.0,9800.0,50.0,600.0,27.0,0.35779,0.778927,0.419974,0.448739,0.762281,0.387416,0.360156,-0.685164
154.912994,26.979931,22.548622,26.964687,-944.274658,-2056.800293,-1108.203613,-1183.960815,-2013.182983,-1024.5625,-950.297363,1810.536499,1.16498,1.165028,1.164877,1.165301,1.16542,1.165236,1.164767,0.372485,1.0,1.0,9800.0,50.0,600.0,27.0,0.357301,0.778266,0.419329,0.447995,0.761761,0.387681,0.35958,-0.685083
158.173996,26.995348,22.563795,26.964937,-942.700623,-2054.988525,-1106.628052,-1182.140869,-2012.136597,-1025.765503,-950.807312,1811.194824,1.164985,1.165067,1.164921,1.165319,1.165439,1.165221,1.164807,0.371983,1.0,1.0,9800.0,50.0,600.0,27.0,0.356705,0.77758,0.418733,0.447306,0.761365,0.388136,0.359773,-0.685332
161.431,27.00095,22.553368,26.962563,-941.831299,-2053.053467,-1105.151978,-1180.763062,-2011.415039,-1026.856445,-948.191223,1807.233032,1.16501,1.165073,1.164909,1.165331,1.1654,1.165211,1.164759,0.372057,1.0,1.0,9800.0,50.0,600.0,27.0,0.356376,0.776848,0.418175,0.446785,0.761092,0.388549,0.358783,-0.683833
164.690002,26.992201,22.552681,26.962999,-941.03064,-2051.877686,-1104.698975,-1179.31958,-2010.618164,-1027.834839,-948.079529,1807.984741,1.16497,1.165036,1.164925,1.165309,1.165421,1.1652,1.164744,0.37167,1.0,1.0,9800.0,50.0,600.0,27.0,0.356073,0.776403,0.418003,0.446239,0.760791,0.388919,0.358741,-0.684117
167.949005,27.001642,22.542627,26.96575,-939.494141,-2049.653564,-1103.094116,-1177.474121,-2009.482056,-1028.085571,-948.721802,1809.404663,1.165018,1.165074,1.164938,1.165317,1.165467,1.165255,1.16478,0.371603,1.0,1.0,9800.0,50.0,600.0,27.0,0.355492,0.775561,0.417396,0.44554,0.760361,0.389014,0.358984,-0.684654
171.209,27.008417,22.541567,26.964563,-939.167114,-2048.973633,-1102.307007,-1176.598877,-2008.751953,-1029.90271,-946.926575,1804.181274,1.16495,1.165061,1.164886,1.165298,1.165429,1.165196,1.164747,0.371429,1.0,1.0,9800.0,50.0,600.0,27.0,0.355368,0.775304,0.417098,0.445209,0.760085,0.389701,0.358304,-0.682678
174.470993,27.015726,22.527893,26.963562,-937.468262,-2046.843506,-1100.765137,-1174.778931,-2007.698608,-1030.109375,-947.434814,1808.046387,1.16498,1.165045,1.164881,1.165313,1.165422,1.165213,1.164755,0.371172,1.0,1.0,9800.0,50.0,600.0,27.0,0.354725,0.774498,0.416515,0.444521,0.759686,0.38978,0.358497,-0.68414
177.733002,27.02618,22.532888,26.963249,-936.505493,-2045.937012,-1099.92981,-1173.406982,-2007.533325,-1031.605347,-947.072998,1809.47168,1.164964,1.165072,1.164913,1.165307,1.165391,1.165213,1.164742,0.370878,1.0,1.0,9800.0,50.0,600.0,27.0,0.354361,0.774155,0.416199,0.444001,0.759624,0.390346,0.35836,-0.68468
180.994003,27.013325,22.562046,26.965187,-935.222534,-2044.737549,-1098.613403,-1171.789062,-2006.748291,-1032.715942,-944.687927,1803.186768,1.164951,1.165,1.16486,1.165279,1.165415,1.165203,1.164763,0.370688,1.0,1.0,9800.0,50.0,600.0,27.0,0.353876,0.773701,0.415701,0.443389,0.759327,0.390766,0.357457,-0.682302
184.253006,27.013859,22.548935,26.964251,-934.440002,-2042.865845,-1097.598267,-1170.846924,-2006.052002,-1033.624512,-945.617615,1805.628174,1.164955,1.165025,1.164872,1.165325,1.165431,1.165229,1.164772,0.370669,1.0,1.0,9800.0,50.0,600.0,27.0,0.35358,0.772993,0.415316,0.443033,0.759063,0.39111,0.357809,-0.683225
187.513,26.992201,22.567978,26.965626,-933.046326,-2041.922852,-1096.848145,-1169.862305,-2005.884766,-1035.459595,-945.687683,1806.781372,1.16495,1.165037,1.164863,1.165288,1.165412,1.165198,1.164762,0.370394,1.0,1.0,9800.0,50.0,600.0,27.0,0.353052,0.772636,0.415033,0.44266,0.759,0.391804,0.357836,-0.683662
190.772995,26.990707,22.580091,26.962812,-932.249512,-2040.586914,-1095.811035,-1167.789917,-2005.138184,-1036.604492,-945.534241,1800.043335,1.164987,1.165055,1.164941,1.16535,1.165464,1.165247,1.164794,0.370513,1.0,1.0,9800.0,50.0,600.0,27.0,0.352751,0.772131,0.41464,0.441876,0.758717,0.392237,0.357777,-0.681112
